File Name;Description;PART NUMBER;INDUCTANCE (μH);INDUCTANCE (μH);INDUCTANCE (μH);INDUCTANCE (μH);TOLERANCE;TEST FREQUENCY L (kHz);DCR MAX. (Ω);I (A) SAT;I (A RMS
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER1R0M;1.0;IDCS5020ER1R0M;1.0;± 20 %;100;0.021;5.6;5.0
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER1R5M;1.5;IDCS5020ER1R5M;1.5;± 20 %;100;0.022;5.2;4.5
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER2R2M;2.2;IDCS5020ER2R2M;2.2;± 20 %;100;0.032;5.0;3.8
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER3R3M;3.3;IDCS5020ER3R3M;3.3;± 20 %;100;0.039;3.9;3.3
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER4R7M;4.7;IDCS5020ER4R7M;4.7;± 20 %;100;0.054;3.2;2.7
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER6R8M;6.8;IDCS5020ER6R8M;6.8;± 20 %;100;0.075;2.8;2.2
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER100M;10;IDCS5020ER100M;10;± 20 %;100;0.101;2.4;2.0
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER150M;15;IDCS5020ER150M;15;± 20 %;100;0.150;2.0;1.5
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER220M;22;IDCS5020ER220M;22;± 20 %;100;0.207;1.6;1.3
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER330M;33;IDCS5020ER330M;33;± 20 %;100;0.334;1.4;1.1
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER470M;47;IDCS5020ER470M;47;± 20 %;100;0.472;1.0;0.80
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER560M;56;IDCS5020ER560M;56;± 20 %;100;0.210;0.95;0.90
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER680M;68;IDCS5020ER680M;68;± 20 %;100;0.340;0.90;0.82
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER820M;82;IDCS5020ER820M;82;± 20 %;100;0.380;0.85;0.75
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER101M;100;IDCS5020ER101M;100;± 20 %;100;0.420;0.80;0.68
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER121M;120;IDCS5020ER121M;120;± 20 %;100;0.460;0.70;0.60
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER151M;150;IDCS5020ER151M;150;± 20 %;100;0.520;0.60;0.55
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER181M;180;IDCS5020ER181M;180;± 20 %;100;0.700;0.65;0.50
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER221M;220;IDCS5020ER221M;220;± 20 %;100;0.800;0.50;0.45
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER271M;270;IDCS5020ER271M;270;± 20 %;100;1.100;0.45;0.40
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER331M;330;IDCS5020ER331M;330;± 20 %;100;1.200;0.40;0.35
IDCS-5020;High Current, Surface-Mount Inductors - Shielded;IDCS5020ER000M;IDCS5020ER391M;390;IDCS5020ER391M;390;± 20 %;100;1.400;0.35;0.33
