File Name,Description,PART NUMBER,"L
0
INDUCTANCE
± 20 % AT 100 kHz,
1 V, 0 A
(μH)","DCR
TYP.
25 °C
(mΩ)","DCR
MAX.
25 °C
(mΩ)","HEAT RATING
CURRENT
DC TYP.
(A) (3)","SATURATION
CURRENT
DC TYP.
(A) (4)"
IFLR-4031GC-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Shielded construction
• Frequency range up to 2 MHz",IFLR4031GCERR17M01,0.17,0.26,0.29,61.0,60.0
IFLR-4031GC-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Shielded construction
• Frequency range up to 2 MHz",IFLR4031GCERR22M01,0.215,0.26,0.29,61.0,44.0
