File Name;Image Path;Description;PART NUMBER;INDUCTANCE AT 0 A (μH);IND. TOL. (%);DCR ± 30 % (mΩ);HEAT RATING CURRENT DC (A) (1);SATURATION CURRENT DC (A) (2);SRF TYP. (MHz)
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER1R0M01;1.0;30;14;4.2;8.5;110
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER1R2M01;1.2;30;16;4.0;8.0;100
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER1R5M01;1.5;30;18;3.7;7.0;65
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER1R8M01;1.8;30;18;3.7;7.0;60
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER2R2M01;2.2;30;21;3.5;6.0;52
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER3R3M01;3.3;30;24;3.2;5.0;32
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER4R7M01;4.7;20;31;3.0;4.0;24
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER5R6M01;5.6;20;36;2.9;3.9;23
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER6R8M01;6.8;20;38;2.8;3.8;14
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER100M01;10;20;47;2.5;3.0;12
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER150M01;15;20;77;1.9;2.3;10
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER220M01;22;20;115;1.5;1.9;7
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER330M01;33;20;145;1.4;1.5;6
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER470M01;47;20;220;1.1;1.3;5
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER560M01;56;20;310;1.0;1.1;4.5
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER680M01;68;20;330;0.9;1.0;4
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER820M01;82;20;460;0.8;0.9;3.9
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER101M01;100;20;500;0.7;0.8;3
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER121M01;120;20;620;0.7;0.75;3
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER151M01;150;20;800;0.65;0.7;2.8
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER181M01;180;20;930;0.6;0.65;2.6
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER221M01;220;20;1200;0.5;0.6;2.4
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER331M01;330;20;1800;0.4;0.5;2.2
IFSC-2020DE-01;image/small_inductors/34083.png;Semi-Shielded SMD Power Inductors;IFSC2020DEER471M01;470;20;2000;0.35;0.4;2
