File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR ± 5 % AT 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-5050CE-07;image/small_inductors/34166.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP5050CEER0R6M07;0.60;1.85;29;51
IHLP-5050CE-07;image/small_inductors/34166.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP5050CEER0R68M07;0.68;2.34;28;49
IHLP-5050CE-07;image/small_inductors/34166.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP5050CEER1R0M07;1.0;3.21;24;40
IHLP-5050CE-07;image/small_inductors/34166.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP5050CEER1R5M07;1.5;4.97;19;35
IHLP-5050CE-07;image/small_inductors/34166.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP5050CEER2R2M07;2.2;7.20;16;29
IHLP-5050CE-07;image/small_inductors/34166.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP5050CEER3R3M07;3.3;10.69;12;27
IHLP-5050CE-07;image/small_inductors/34166.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP5050CEER4R7M07;4.7;14.27;10;24
IHLP-5050CE-07;image/small_inductors/34166.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP5050CEER5R6M07;5.6;18.19;9.5;19
IHLP-5050CE-07;image/small_inductors/34166.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP5050CEER100M07;10;30.86;7;14
