File Name;Image Path;Description;PART NUMBER;L INDUCTANCE 0 ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP.;(A) (3);SRF TYP. (MHz)
IHLP-5050DC-51;image/small_inductors/34595.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP5050DCER000M51;;;;;(A) (2);(A) (3);
IHLP-5050DC-51;image/small_inductors/34595.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP5050DCER0R22M51;0.22;1.00;1.07;49.0;54.4;79.0;121.9
IHLP-5050DC-51;image/small_inductors/34595.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP5050DCER0R47M51;0.47;1.26;1.36;38.0;37.5;54.5;67.4
IHLP-5050DC-51;image/small_inductors/34595.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP5050DCER1R0M51;1.0;2.75;2.94;34.7;29.1;42.8;38.7
IHLP-5050DC-51;image/small_inductors/34595.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP5050DCER1R2M51;1.2;3.00;3.22;29.6;22.4;33.0;36.9
IHLP-5050DC-51;image/small_inductors/34595.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP5050DCER1R5M51;1.5;3.51;3.78;28.2;23.0;34.0;31.7
IHLP-5050DC-51;image/small_inductors/34595.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP5050DCER2R2M51;2.2;5.05;5.42;23.6;18.1;26.7;22.1
IHLP-5050DC-51;image/small_inductors/34595.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP5050DCER3R3M51;3.3;7.90;8.45;17.3;14.1;20.6;19.1
IHLP-5050DC-51;image/small_inductors/34595.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP5050DCER4R7M51;4.7;11.4;12.2;12.2;9.2;13.4;15.4
IHLP-5050DC-51;image/small_inductors/34595.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP5050DCER100M51;10;20.7;22.2;9.7;8.7;12.6;11.2
IHLP-5050DC-51;image/small_inductors/34595.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP5050DCER150M51;15;28.1;30.0;8.4;7.2;10.6;9.0
IHLP-5050DC-51;image/small_inductors/34595.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP5050DCER220M51;22;49.0;52.4;6.3;6.4;9.3;6.9
IHLP-5050DC-51;image/small_inductors/34595.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP5050DCER470M51;47;112.4;120.9;3.6;4.4;6.5;4.5
